title,category,gpt_4o_prediction,gpt_4o_mini_prediction,claude_3.5_sonnet_prediction,claude_3.5_haiku_prediction
lichamp wide green painters tape 2 inch 1pc medium adhesive green masking tape 195 inches x 55 yards,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
roommates rmk2728scs nintendo mario kart 8 peel and stick wall decals 10 x 18,paint wall treatments supplies,paint wall treatments supplies,seasonal dcor,paint wall treatments supplies,party decorations
just breathe vinyl wall decal yoga quotes positive relax motto art letters sayings living room dcor lettering,paint wall treatments supplies,paint wall treatments supplies,seasonal dcor,paint wall treatments supplies,seasonal dcor
red devil 3274 3 wallpaper stripper replacement blade 2 blades per card,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,power tools hand tools,paint wall treatments supplies
3pk 14 12 34 in x 60 yd blue painters tape medium high tack sticky paper masking tape edging small projects fine trim detailing multi surface clean release 21 day easy removal no residue 6mm18mm,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
2inch paint roller mini plastic paint tray set mini roller frame microfiber roller covers touch up trim kit with tray,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
peel and stick wallpaper black and white contact paper self adhesive removable wallpaper dots contact paper for cabinets modern wallpaper bathroom wallpaper 118x177,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
goplus wallpaper steamer chemicalfree cleaner for wallpaper removal w 10ft hose large steam plate,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
tcp global brand benchtop gravity feed spray gun holder stand holds auto paint hvlp guns table or bench top,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,power tools hand tools,power tools hand tools
lincoln electric kh268 abrasive roll emery cloth backing aluminum oxide 1 width x 25 yds length 320 grit pack of 1,paint wall treatments supplies,power tools hand tools,power tools hand tools,power tools hand tools,power tools hand tools
large retro flower wall decals vintage floral wall stickers peony flower wall art decor for living room bedroom sofa tv wall,paint wall treatments supplies,paint wall treatments supplies,seasonal dcor,seasonal dcor,seasonal dcor
scotts liquid gold pourable wood care cleans dusts pack of 2,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,personal care products,power tools hand tools
alphabet numbers wall decals 12 sheets color weather learning educational wall stickers peel and stick solar system shape wall decals for kids toddlers classroom playroom bedroom wall decorations,paint wall treatments supplies,science education supplies,science education supplies,science education supplies,science education supplies
bathtub repair kitporcelain repair kitacrylic tub repair kit for porcelain enamel fiberglass tub repair kitmarble repair porcelain sink repair fiberglass shower repair kitbath repair kit white,paint wall treatments supplies,pumps plumbing equipment,pumps plumbing equipment,pumps plumbing equipment,power tools hand tools
tile paint tub and tile refinishing kit with tools tub refinishing kit white bathtub paint water based low odor easy to use sink paint for bathroom kitchen semigloss white 2530sqft,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
chalkboard wall sticker blackboard decor pvc self adhesive diy removable reusable erasable wallpaper for door fridge,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
timbermate red oak hardwood wood filler 8oz jar,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,power tools hand tools,paint wall treatments supplies
fine decor fdb07508s leaf trail peel stick border multicolor,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
11pcs 3d wall panels peel and stick faux brick wallpaper pink self adhesive foam brick paneling faux stone wall panels 11pcs pink,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
totio extra wide glossy white marble contact paper peel and stick granite wallpaper thicker 315x157inch selfadhesive furniture sticker diy decorative paper counter top cover waterproof vinyl wrap,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies,paint wall treatments supplies
ampersand art supply watercolor painting panel museum series aquabord 18 inch depth 5 x 7 3 panels,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies
5d diamond painting kits for adults licensed full drill diamond art colorful butterfly for home wall decor advanced kit 13x26 inches,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies
diy 5d diamond painting kits for adults kids full drill round crystal rhinestone gem dimond art painting for adults begginner perfect for home wall decorcanvas size14x18inch35x45cm,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies
uchida of america 12343c decocolor extra fine point pen silvergold 3pack,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies
4 oz fluid acrylic color paint color quinacridone magenta,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies
sakura pigma micron fineliner pens archival black ink pens pens for writing drawing or journaling black ink 03 point size 6 pack,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies
12 colors acrylic paint marker pens for rock painting,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies,painting drawing art supplies
halloween jack and sally adults diamond painting kits full drill beginner diy crystal creations 5d gem art picture 12x16 inch nightmare before christmas mosaic crafts 2 pack,painting drawing art supplies,painting drawing art supplies,seasonal dcor,painting drawing art supplies,scrapbooking stamping supplies
