Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.6516,0.6738,0.6516,0.6369
gpt_4o_mini_prediction,0.6435,0.7007,0.6435,0.6279
claude_3.5_sonnet_prediction,0.6758,0.7385,0.6758,0.6687
claude_3.5_haiku_prediction,0.6371,0.7334,0.6371,0.6284
Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.7677,0.8026,0.7677,0.7608
gpt_4o_mini_prediction,0.7419,0.7873,0.7419,0.7368
claude_3.5_sonnet_prediction,0.7435,0.7861,0.7435,0.7328
claude_3.5_haiku_prediction,0.7371,0.7908,0.7371,0.7314
Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.7984,0.8346,0.7984,0.7948
gpt_4o_mini_prediction,0.7694,0.7995,0.7694,0.7556
claude_3.5_sonnet_prediction,0.7952,0.8183,0.7952,0.7827
claude_3.5_haiku_prediction,0.7516,0.8164,0.7516,0.7391
Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.7355,0.7717,0.7355,0.7284
gpt_4o_mini_prediction,0.7016,0.7366,0.7016,0.6923
claude_3.5_sonnet_prediction,0.7274,0.7917,0.7274,0.7131
claude_3.5_haiku_prediction,0.6887,0.7415,0.6887,0.6823
Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.8371,0.8538,0.8371,0.8361
gpt_4o_mini_prediction,0.771,0.8239,0.771,0.7577
claude_3.5_sonnet_prediction,0.8581,0.8822,0.8581,0.8569
claude_3.5_haiku_prediction,0.7774,0.806,0.7774,0.7608
Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.7935,0.8289,0.7935,0.7891
gpt_4o_mini_prediction,0.7645,0.8293,0.7645,0.7647
claude_3.5_sonnet_prediction,0.779,0.8259,0.779,0.7721
claude_3.5_haiku_prediction,0.7629,0.8118,0.7629,0.7587
Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.7677,0.7716,0.7677,0.756
gpt_4o_mini_prediction,0.7435,0.7562,0.7435,0.7213
claude_3.5_sonnet_prediction,0.7435,0.7552,0.7435,0.7214
claude_3.5_haiku_prediction,0.7032,0.7341,0.7032,0.6863
Model,Accuracy,Precision,Recall,F1
gpt_4o_prediction,0.7806,0.8081,0.7806,0.7827
gpt_4o_mini_prediction,0.7387,0.7728,0.7387,0.7421
claude_3.5_sonnet_prediction,0.7484,0.7903,0.7484,0.7549
claude_3.5_haiku_prediction,0.7435,0.7832,0.7435,0.7488
